Key,Key_Pair,Flight_UD_s,Flight_DD_s,Dwell_Time_s,Is_Overlap,Session_WPM
h,START_h,0.0000,0.0000,0.0840,0,14.02
e,h_e,0.2320,0.3160,0.0590,1,14.02
l,e_l,0.4030,0.4620,0.0700,1,14.02
l,l_l,0.0730,0.1430,0.0650,1,14.02
o,l_o,0.1320,0.1970,0.1250,1,14.02
Backspace,o_Backspace,1.0890,1.2140,0.0790,1,14.02
Backspace,Backspace_Backspace,0.0650,0.1440,0.0650,1,14.02
Backspace,Backspace_Backspace,0.0670,0.1320,0.0580,1,14.02
Backspace,Backspace_Backspace,0.0700,0.1280,0.0680,1,14.02
Backspace,Backspace_Backspace,0.0610,0.1290,0.0620,1,14.02
Backspace,Backspace_Backspace,0.0700,0.1320,0.0790,1,14.02
e,Backspace_e,0.7780,0.8570,0.0470,1,14.02
v,e_v,0.3280,0.3750,0.0780,1,14.02
e,v_e,0.1610,0.2390,0.0540,1,14.02
r,e_r,0.0880,0.1420,0.0480,1,14.02
y,r_y,0.1370,0.1850,0.0970,1,14.02
 ,y_ ,0.1080,0.2050,0.0940,1,14.02
k, _k,0.8160,0.9100,0.0770,1,14.02
e,k_e,0.2810,0.3580,0.0600,1,14.02
y,e_y,0.2070,0.2670,0.0850,1,14.02
s,y_s,0.3320,0.4170,0.0520,1,14.02
t,s_t,0.2980,0.3500,0.0860,1,14.02
r,t_r,0.0640,0.1500,0.0630,1,14.02
o,r_o,0.3350,0.3980,0.1000,1,14.02
k,o_k,0.1030,0.2030,0.0760,1,14.02
e,k_e,0.3000,0.3760,0.0620,1,14.02
b,START_b,0.0000,0.0000,0.0790,0,24.15
e,b_e,0.2620,0.3410,0.0830,1,24.15
h,e_h,0.3940,0.4770,0.0620,1,24.15
a,h_a,0.2590,0.3210,0.0520,1,24.15
v,a_v,0.4750,0.5270,0.0720,1,24.15
i,v_i,0.3140,0.3860,0.0770,1,24.15
o,i_o,0.0840,0.1610,0.0770,1,24.15
u,o_u,0.0820,0.1590,0.0740,1,24.15
r,u_r,0.3140,0.3880,0.0820,1,24.15
 ,r_ ,0.1910,0.2730,0.0880,1,24.15
i, _i,0.5850,0.6730,0.0710,1,24.15
s,i_s,0.2960,0.3670,0.0420,1,24.15
t,START_t,0.0000,0.0000,0.0690,0,23.75
y,t_y,0.1510,0.2200,0.0210,1,23.75
p,y_p,0.3180,0.3390,0.0650,1,23.75
i,p_i,0.1430,0.2080,0.0590,1,23.75
n,i_n,0.2090,0.2680,0.0710,1,23.75
g,n_g,0.2360,0.3070,0.0700,1,23.75
 ,g_ ,0.5110,0.5810,0.1010,1,23.75
r, _r,0.5770,0.6780,0.0580,1,23.75
y,r_y,0.2480,0.3060,0.0820,1,23.75
t,y_t,0.0810,0.1630,0.0660,1,23.75
h,t_h,0.1260,0.1920,0.0460,1,23.75
m,h_m,0.5020,0.5480,0.0520,1,23.75
c,START_c,0.0000,0.0000,0.0690,0,22.4
o,c_o,0.3490,0.4180,0.0690,1,22.4
n,o_n,0.2130,0.2820,0.0770,1,22.4
s,n_s,0.3550,0.4320,0.0620,1,22.4
i,s_i,0.2860,0.3480,0.0880,1,22.4
s,i_s,0.2790,0.3670,0.0490,1,22.4
t,s_t,0.3550,0.4040,0.0960,1,22.4
e,t_e,0.1130,0.2090,0.0650,1,22.4
n,e_n,0.5230,0.5880,0.0680,1,22.4
